CLI_CONFIG_ID,RELEASE_CONFIG_ID,FW_TYPE,TITLE,FLASH_VENDOR,FLASH_GEOMETRY,FLASH_TYPE,FLASH_PN,PACKAGE_TYPE,PACKAGE_COUNT,PACKAGE_DENSITY,PACKAGE_DIE_COUNT,CAPACITY_RAW,CAPACITY_USER,512_LBA_COUNT,512+DIF_LBA_COUNT,520_LBA_COUNT,524_LBA_COUNT,528_LBA_COUNT,4096_LBA_COUNT,4096+DIF_LBA_COUNT,NON_512BYTE_SECTOR_SIZE,RAISE_ON,VERSION_DEMO,VERSION_RELEASE,TOPO_ID,SATA_SPEED,WRITE_IOPS,FW_FUSE,INDUSTRIAL_FEATURES,CLI_BUILD_ID,RELEASE_BUILD_ID,VALID_FLAG,RELEASE_STATUS,FW_WORKSHEET,VALIDATED,ASIC_SUPPORT
C20001,20001,SF-2141,SF-2141 24GB Intel25 ccMLC TSOP 3xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,3,64,SDP,24,24,46905264,,,,,,,No,No,Beta2,MP1,1Q-1C-1D-3L,3,10000,FF00,No,PP-C00419,PP-R00419,Y,External,Universal,2,B01
C20002,20002,SF-2141,SF-2141 32GB Intel25 ccMLC TSOP 4xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,4,64,SDP,32,32,62533296,,,,,,,No,No,Beta2,MP1,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00420,PP-R00420,Y,External,Universal,1,B01
C20003,20003,SF-2141,SF-2141 48GB Intel25 ccMLC TSOP 6xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,6,64,SDP,48,48,93789360,,,,,,,No,No,Beta2,MP1,1Q-2C-1D-3L-S,3,10000,FF00,No,PP-C00485,PP-R00485,Y,External,Universal,2,B01
C20004,20004,SF-2141,SF-2141 64GB Intel25 ccMLC TSOP 8xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,8,64,SDP,64,64,125045424,,,,,,,No,No,Beta2,MP1,1Q-2C-1D-4L-S,3,10000,FF00,No,PP-C00486,PP-R00486,Y,External,Universal,2,B01
C20005,20005,SF-2141,SF-2141 48GB Intel25 ccMLC TSOP 3xJS29F16B08CCME2 (RAISE OFF),Intel,25,ccMLC,JS29F16B08CCME2,TSOP,3,128,DDP,48,48,93789360,,,,,,,No,No,Beta2,MP1,1Q-2C-1D-3L,3,10000,FF00,No,PP-C00423,PP-R00423,Y,External,Universal,2,B01
C20006,20006,SF-2141,SF-2141 64GB Intel25 ccMLC TSOP 4xJS29F16B08CCME2 (RAISE OFF),Intel,25,ccMLC,JS29F16B08CCME2,TSOP,4,128,DDP,64,64,125045424,,,,,,,No,No,Beta2,MP1,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00424,PP-R00424,Y,External,Universal,2,B01
C20007,20007,SF-2141,SF-2141 24GB Intel25 MLC TSOP 3xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,3,64,SDP,24,24,46905264,,,,,,,No,No,RC1,TBD,1Q-1C-1D-3L,3,10000,FF00,No,PP-C00686,PP-R00686,Y,External,Universal,0,B01
C20008,20008,SF-2141,SF-2141 32GB Intel25 MLC TSOP 4xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,4,64,SDP,32,32,62533296,,,,,,,No,No,RC1,TBD,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00687,PP-R00687,Y,External,Universal,0,B01
C20009,20009,SF-2141,SF-2141 48GB Intel25 MLC TSOP 6xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,6,64,SDP,48,48,93789360,,,,,,,No,No,RC1,TBD,1Q-2C-1D-3L-S,3,10000,FF00,No,PP-C00700,PP-R00700,Y,External,Universal,0,B01
C20010,20010,SF-2141,SF-2141 64GB Intel25 MLC TSOP 8xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,8,64,SDP,64,64,125045424,,,,,,,No,No,RC1,TBD,1Q-2C-1D-4L-S,3,10000,FF00,No,PP-C00701,PP-R00701,Y,External,Universal,0,B01
C20011,20011,SF-2141,SF-2141 48GB Intel25 MLC TSOP 3xJS29F16B08CAME1 (RAISE OFF),Intel,25,MLC,JS29F16B08CAME1,TSOP,3,128,DDP,48,48,93789360,,,,,,,No,No,RC1,TBD,1Q-2C-1D-3L,3,10000,FF00,No,PP-C00686,PP-R00686,Y,External,Universal,0,B01
C20012,20012,SF-2141,SF-2141 64GB Intel25 MLC TSOP 4xJS29F16B08CAME1 (RAISE OFF),Intel,25,MLC,JS29F16B08CAME1,TSOP,4,128,DDP,64,64,125045424,,,,,,,No,No,RC1,TBD,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00691,PP-R00691,Y,External,Universal,0,B01
C20013,20013,SF-2141,SF-2141 16GB Toshiba32 MLC LGA 2xTH58NVG6D2FLA49 (RAISE OFF),Toshiba,32,MLC,TH58NVG6D2FLA49,LGA,2,64,DDP,16,16,31277232,,,,,,,No,No,MP1p1,TBD,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00742,PP-R00742,Y,External,Universal,0,B01
C20014,20014,SF-2141,SF-2141 12GB Toshiba32 MLC LGA 2xTH58NVG6D2FLA49,Toshiba,32,MLC,TH58NVG6D2FLA49,LGA,2,64,DDP,16,12,23463216,,,,,,,No,Yes,MP1p1,TBD,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00742,PP-R00742,Y,External,Universal,0,B01
C20015,20015,SF-2141,SF-2141 32GB Micron25 MLC BGA 4xMT29F64G08CBCABH1 (RAISE OFF),Micron,25,MLC,MT29F64G08CBCABH1,BGA,4,64,SDP,32,32,62533296,,,,,,,No,No,MP1p1,MP1p1,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00434,PP-R00434,Y,External,Universal,2,B01
C20016,20016,SF-2141,SF-2141 64GB Micron25 MLC TSOP 4xMT29F128G08CFAABWP (RAISE OFF),Micron,25,MLC,MT29F128G08CFAABWP,TSOP,4,128,DDP,64,64,125045424,,,,,,,No,No,MP1p1,MP1p1,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00435,PP-R00435,Y,External,Universal,2,B01
C20017,20017,SF-2141,SF-2141 32GB Micron25 MLC TSOP 4xMT29F64G08CFACBWP (RAISE OFF),Micron,25,MLC,MT29F64G08CFACBWP,TSOP,4,64,DDP,32,32,62533296,,,,,,,No,No,TBD,TBD,1Q-2C-1D-4L,3,10000,FF00,No,PP-C01632,PP-R01632,Y,External,Universal,0,B01
C20018,20018,SF-2141,SF-2141 32GB Intel25 eMLC BGA 2xPF29F16B16MCME1 (RAISE OFF),Intel,25,eMLC,PF29F16B16MCME1,BGA,2,128,DDP,32,32,62533296,,,,,,,No,No,MP1p1,MP2,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00774,PP-R00774,Y,External,Universal,0,B01
C20019,20019,SF-2141,SF-2141 64GB Intel25 eMLC BGA 4xPF29F16B16MCME1 (RAISE OFF),Intel,25,eMLC,PF29F16B16MCME1,BGA,4,128,DDP,64,64,125045424,,,,,,,No,No,MP1p1,MP2,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00775,PP-R00775,Y,External,Universal,0,B01
C20020,20020,SF-2141,SF-2141 64GB Intel25 eMLC BGA 2xPF29F32B16NCME1 (RAISE OFF),Intel,25,eMLC,PF29F32B16NCME1,BGA,2,256,QDP,64,64,125045424,,,,,,,No,No,MP1p1,MP2,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00775,PP-R00775,Y,External,Universal,0,B01
C20021,20021,SF-2141,SF-2141 32GB Micron25 MLC BGA 2xMT29F128G08CECABH1 (RAISE OFF),Micron,25,MLC,MT29F128G08CECABH1,BGA,2,128,DDP,32,32,62533296,,,,,,,No,No,MP1p1,MP2,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00776,PP-R00776,Y,External,Universal,2,B01
C20022,20022,SF-2141,SF-2141 64GB Micron25 MLC BGA 2xMT29F256G08CMCABH2 (RAISE OFF),Micron,25,MLC,MT29F256G08CMCABH2,BGA,2,256,QDP,64,64,125045424,,,,,,,No,No,MP1p1,MP2,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00777,PP-R00777,Y,External,Universal,2,B01
C20023,20023,SF-2141,SF-2141 16GB Intel25 SLC BGA 2xPF29F64G16MCNE2 (RAISE OFF),Intel,25,SLC,PF29F64G16MCNE2,BGA,2,64,DDP,16,16,31277232,,,,,,,No,No,MP1p1,MP2,1Q-1C-1D-4L,3,10000,FF00,No,PP-C00795,PP-R00795,Y,External,Universal,0,B01
C20024,20024,SF-2141,SF-2141 32GB Intel25 SLC BGA 4xPF29F64G16MCNE2 (RAISE OFF),Intel,25,SLC,PF29F64G16MCNE2,BGA,4,64,DDP,32,32,62533296,,,,,,,No,No,MP1p1,MP2,1Q-2C-1D-4L,3,10000,FF00,No,PP-C00796,PP-R00796,Y,External,Universal,0,B01
C20025,20025,SF-2141,SF-2141 64GB Intel25 SLC BGA 8xPF29F64G16MCNE2 (RAISE OFF),Intel,25,SLC,PF29F64G16MCNE2,BGA,8,64,DDP,64,64,125045424,,,,,,,No,No,MP1p1,MP2,1Q-4C-1D-4L,3,10000,FF00,No,PP-C00797,PP-R00797,Y,External,Universal,0,B01
